ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Nuclei NoBorder - Number of Objects	Nuclei NoBorder - Nucleus Area [µm²] - Mean per Well	Nuclei NoBorder - Nucleus Area [µm²] - StdDev per Well	Nuclei NoBorder - Nucleus Roundness - Mean per Well	Nuclei NoBorder - Nucleus Roundness - StdDev per Well	Nuclei NoBorder - Nucleus Width [µm] - Mean per Well	Nuclei NoBorder - Nucleus Width [µm] - StdDev per Well	Nuclei NoBorder - Nucleus Length [µm] - Mean per Well	Nuclei NoBorder - Nucleus Length [µm] - StdDev per Well	Nuclei NoBorder - Intensity Cell Alexa 647 Mean - Mean per Well	Nuclei NoBorder - Intensity Cell Alexa 647 Mean - StdDev per Well	Nuclei NoBorder - Hoechst Mean - Mean per Well	Nuclei NoBorder - Hoechst Mean - StdDev per Well	Nuclei NoBorder - Intensity Cytoplasm Alexa 647 Mean - Mean per Well	Nuclei NoBorder - Intensity Cytoplasm Alexa 647 Mean - StdDev per Well	Nuclei NoBorder - Intensity Nucleus Alexa 647 Mean - Mean per Well	Nuclei NoBorder - Intensity Nucleus Alexa 647 Mean - StdDev per Well	Nuclei NoBorder - DNA content - Mean per Well	Nuclei NoBorder - DNA content - StdDev per Well	Number of Analyzed Fields	Link
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	B2	2	2	1	1	15813	129.8903716	40.331313398	0.93685220248	0.0730431140428	9.57502143227	1.78497307339	14.1945624695	2.83929178383	195.559751014	107.639051414	2816.789823	1012.48377342	207.779693575	116.575111698	189.702596717	115.452269473	361347.103926	163451.196932	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=2.2
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	B3	2	3	1	1	10241	114.826816208	26.9884039475	0.949775606096	0.0564730480986	9.14252305747	1.32805871627	13.1741786726	1.98833217767	49.6352828841	38.3098864403	2746.20112465	747.207050808	48.4301312492	38.7086041998	53.0020047801	41.8375270624	312679.051773	113144.72275	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=2.3
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	B4	2	4	1	1	10807	122.188539041	28.1418487036	0.954344879268	0.0557401286016	9.52199788888	1.39994362683	13.527942003	1.95512413164	48.9348888412	46.86674971	2530.32661373	778.551940558	47.615142621	43.4114635756	52.2498365638	55.5221763075	306565.369576	117230.491602	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=2.4
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	B5	2	5	1	1	11762	124.418465859	35.1168949961	0.94258148067	0.0646924123725	9.41950526365	1.59076813214	13.8518200115	2.43711550767	59.4215410956	52.8996004385	2617.5715557	945.027198128	59.4947700265	53.5028653288	61.2009730454	57.761573698	324004.604713	151056.181927	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=2.5
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	B6	2	6	1	1	12293	123.254489449	41.0857706822	0.917606853754	0.0772503553704	8.98939661173	1.62740644183	14.2729050456	3.11885108293	84.7671174984	80.4086363785	2778.85629566	1031.65127005	89.7785557346	85.2274166547	82.544118286	83.2536509405	341197.318426	173672.294255	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=2.6
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	B7	2	7	1	1	13589	124.342790278	44.6492843299	0.901741274156	0.0855027960371	8.83308910788	1.63436029388	14.5580484422	3.53989241848	116.285785881	87.045811945	2995.67952139	1087.18713276	124.220799497	91.3291598981	112.976294924	93.2570083388	369643.639191	185933.599537	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=2.7
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	B8	2	8	1	1	15043	126.826341419	41.9413855607	0.914115723057	0.0813999749149	9.14266495823	1.72566062312	14.4553843352	3.18187881192	135.184992561	77.9884832377	2791.49509928	1045.71007169	145.362721622	81.5883443988	130.165190474	87.4007935369	352007.82306	177320.299009	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=2.8
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	B9	2	9	1	1	17760	128.536735364	40.5753685044	0.923004893619	0.0811906983854	9.32809775938	1.71269426036	14.3877955853	3.10554157389	174.100475126	97.7743257856	2564.16748827	922.35179862	188.223871264	103.653080727	165.0796852	107.76271852	326588.837176	151858.671715	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=2.9
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	B10	2	10	1	1	16958	129.828911674	41.586235384	0.932498908176	0.076996406253	9.49327443236	1.76223621204	14.2902729383	3.04474031047	185.713979003	100.473124585	2519.14090975	885.756798149	199.907413461	107.816804845	176.228223235	108.479944535	325455.057599	155968.408898	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=2.10
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	B11	2	11	1	1	16488	131.135140544	41.5532007505	0.933888278698	0.0754834320184	9.58060071334	1.80765286876	14.3160283959	2.94468147053	192.005727634	109.357949122	2527.28699686	856.535469245	204.950264567	116.316711351	183.450763085	120.574977857	327193.502341	144766.78739	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=2.11
