AcquisitionType	Channel	ChannelColor	ChannelName	ChannelType	ImageResolutionX@um	ImageResolutionY@um	ImageResolutionZ@um	MainEmissionWavelength@nm	MainExcitationWavelength@nm	Plane	PositionX@um	PositionY@um	PositionZ@um	TimeOffset@s	Timepoint	AbsoluteTime@s	ImageBitPerPixel	ImageHeight	ImageWidth	NumberOfChannels	NumberOfPlanes	NumberOfTimepoints	Field	FieldID	ImageID	PlateRows	PlateColumns	PlateType	PlateName	ScreenName	ScreenID	PlateID	MeasurementID	UserID	MeasurementDate	Row	Column	WellName	WellID	OrientationMatrix	Compression	BufferNo	sourcefilename
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	0	-15	0	1	0	16	1024	1360	2	1	1	1	18720630	18703535	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-1-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	0	-15	0	1	0	16	1024	1360	2	1	1	1	18720630	18703535	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-1-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	2034.124	-15	0	1	1	16	1024	1360	2	1	1	2	18720638	18703538	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-2-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	2034.124	-15	0	1	1	16	1024	1360	2	1	1	2	18720638	18703538	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-2-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	1350.785	1017.062	-15	0	1	0	16	1024	1360	2	1	1	3	18720649	18703546	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-3-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	1350.785	1017.062	-15	0	1	0	16	1024	1360	2	1	1	3	18720649	18703546	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-3-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	1017.062	-15	0	1	0	16	1024	1360	2	1	1	4	18720660	18703557	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-4-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	1017.062	-15	0	1	0	16	1024	1360	2	1	1	4	18720660	18703557	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-4-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	-1350.785	1017.062	-15	0	1	0	16	1024	1360	2	1	1	5	18720665	18703568	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-5-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	-1350.785	1017.062	-15	0	1	0	16	1024	1360	2	1	1	5	18720665	18703568	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-5-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	-1350.785	0	-15	0	1	0	16	1024	1360	2	1	1	6	18720673	18703573	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-6-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	-1350.785	0	-15	0	1	0	16	1024	1360	2	1	1	6	18720673	18703573	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-6-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	1350.785	0	-15	0	1	1	16	1024	1360	2	1	1	7	18720681	18703581	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-7-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	1350.785	0	-15	0	1	1	16	1024	1360	2	1	1	7	18720681	18703581	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-7-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	-1350.785	-1017.062	-15	0	1	0	16	1024	1360	2	1	1	8	18720689	18703589	8	12	96 Costar 3603 Verena	20180320_P3_05perc	20180320_HT29_EGF_8h	6335	21115	25505	1253	2018-03-23T16:14:35Z	2	2	B2	3924032	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-8-001001001.tif
